financial_year,C320010,mean_tfp,25th_ptile,median_tfp,75th_ptile
2016,Adopters,-0.364,-0.092,-0.001,0.077
2016,Non-adopters,0.151,-0.064,0,0.069
2017,Adopters,0.175,-0.052,0.005,0.147
2017,Non-adopters,0.035,-0.048,0.009,0.077
2018,Adopters,-0.034,-0.058,0.011,0.097
2018,Non-adopters,-0.077,-0.056,0.007,0.075
2019,Adopters,0.15,-0.05,0.034,0.131
2019,Non-adopters,0.181,-0.066,-0.002,0.065
2020,Adopters,0.116,-0.139,-0.016,0.055
2020,Non-adopters,0.021,-0.107,-0.009,0.077
2021,Adopters,-0.698,-0.116,-0.002,0.111
2021,Non-adopters,0.03,-0.057,0.023,0.127
2022,Adopters,0.318,-0.054,0.044,0.201
2022,Non-adopters,0.052,-0.057,0.014,0.117
